GATE: ABORT conf= 15 E=    0 C=  1147 ZCR=  9 T=1481us noise=    0 wakes= 0/50
SCHED: wcet=1515us avg=1481us duty=0.74% irq_latN_START,0
380183,GUARDIAN_END,1481
380183,FRAME_START,0
380201,GUARDIAN_START,0
380203,GUARDIAN_END,1482
380203,FRAME_START,0
380221,GUARDIAN_START,0
380223,GUARDIAN_END,1481
380223,FRAME_START,0
380241,GUARDIAN_START,0
380243,GUARDIAN_END,1482
380243,FRAME_START,0
380261,GUARDIAN_START,0
380263,GUARDIAN_END,1482
380263,FRAME_START,0
380281,GUARDIAN_START,0
380283,GUARDIAN_END,1481
380283,FRAME_START,0
380301,GUARDIAN_START,0
380303,GUARDIAN_END,1481
380303,FRAME_START,0
380321,GUARDIAN_START,0
380323,GUARDIAN_END,1481
380323,FRAME_START,0
380341,GUARDIAN_START,0
380343,GUARDIAN_END,1481
380343,FRAME_START,0
380361,GUARDIAN_START,0
380363,GUARDIAN_END,1481
380363,FRAME_START,0
380381,GUARDIAN_START,0
380383,GUARDIAN_END,1481
380383,FRAME_START,0
380401,GUARDIAN_START,0
380403,GUARDIAN_END,1482
380403,TINYML_START,0
380503,TINYML_END,0
380503,FRAME_START,0
380504,GUARDIAN_START,0
380505,GUARDIAN_END,1482
380505,FRAME_START,0
380506,GUARDIAN_START,0
380508,GUARDIAN_END,1481
380508,FRAME_START,0
380509,GUARDIAN_START,0
380510,GUARDIAN_END,1482
380510,FRAME_START,0
380511,GUARDIAN_START,0
380512,GUARDIAN_END,1481
380512,FRAME_START,0
380521,GUARDIAN_START,0
380523,GUARDIAN_END,1482
380523,FRAME_START,0
380541,GUARDIAN_START,0
380543,GUARDIAN_END,1482
380543,FRAME_START,0
380561,GUARDIAN_START,0
380563,GUARDIAN_END,1482
380563,FRAME_START,0
380581,GUARDIAN_START,0
380583,GUARDIAN_END,1481
380583,FRAME_START,0
380601,GUARDIAN_START,0
380603,GUARDIAN_END,1482
380603,FRAME_START,0
380621,GUARDIAN_START,0
380623,GUARDIAN_END,1482
380623,FRAME_START,0
380641,GUARDIAN_START,0
380643,GUARDIAN_END,1481
380643,FRAME_START,0
380661,GUARDIAN_START,0
380663,GUARDIAN_END,1480
380663,FRAME_START,0
380681,GUARDIAN_START,0
380683,GUARDIAN_END,1480
380683,FRAME_START,0
380701,GUARDIAN_START,0
380703,GUARDIAN_END,1482
380703,FRAME_START,0
380721,GUARDIAN_START,0
380723,GUARDIAN_END,1482
RAW: min=   -41 max=     5 samples[0..3]=-7 -3 -4 -4
RES0: min=    -3 max=     3
GATE: ABORT conf= 15 E=    0 C=  3757 ZCR= 11 T=1482us noise=    5 wakes= 4/50
SCHED: wcet=1524us avg=1482us duty=0.74% irq_lat_avg=3ms irq_lat_max=20ms
DEADLINE: misses=31/15350  miss_rate=0.20%
381065,FRAME_START,0
381073,GUARDIAN_START,0
381074,GUARDIAN_END,1482
381074,FRAME_START,0
381075,GUARDIAN_START,0
381077,GUARDIAN_END,1481
381077,FRAME_START,0
381078,GUARDIAN_START,0
381079,GUARDIAN_END,1481
381079,FRAME_START,0
381080,GUARDIAN_START,0
381082,GUARDIAN_END,1524
381082,FRAME_START,0
381083,GUARDIAN_START,0
381084,GUARDIAN_END,1481
381084,FRAME_START,0
381101,GUARDIAN_START,0
381103,GUARDIAN_END,1481
381103,FRAME_START,0
381121,GUARDIAN_START,0
381123,GUARDIAN_END,1481
381123,FRAME_START,0
381141,GUARDIAN_START,0
381143,GUARDIAN_END,1482
381143,FRAME_START,0
381161,GUARDIAN_START,0
381163,GUARDIAN_END,1481
381163,FRAME_START,0
381181,GUARDIAN_START,0
381183,GUARDIAN_END,1482
381183,FRAME_START,0
381201,GUARDIAN_START,0
381203,GUARDIAN_END,1482
381203,FRAME_START,0
381221,GUARDIAN_START,0
381223,GUARDIAN_END,1481
381223,FRAME_START,0
381241,GUARDIAN_START,0
381243,GUARDIAN_END,1481
381243,FRAME_START,0
381261,GUARDIAN_START,0
381263,GUARDIAN_END,1482
381263,FRAME_START,0
381281,GUARDIAN_START,0
381283,GUARDIAN_END,1482
381283,FRAME_START,0
381301,GUARDIAN_START,0
381303,GUARDIAN_END,1482
381303,FRAME_START,0
381321,GUARDIAN_START,0
381323,GUARDIAN_END,1482
381323,FRAME_START,0
381341,GUARDIAN_START,0
381343,GUARDIAN_END,1482
381343,FRAME_START,0
381361,GUARDIAN_START,0
381363,GUARDIAN_END,1482
381363,FRAME_START,0
381381,GUARDIAN_START,0
381383,GUARDIAN_END,1481
381383,FRAME_START,0
381401,GUARDIAN_START,0
381403,GUARDIAN_END,1482
381403,FRAME_START,0
381421,GUARDIAN_START,0
381423,GUARDIAN_END,1482
381423,FRAME_START,0
381441,GUARDIAN_START,0
381443,GUARDIAN_END,1481
381443,FRAME_START,0
381461,GUARDIAN_START,0
381463,GUARDIAN_END,1481
381463,FRAME_START,0
381481,GUARDIAN_START,0
381483,GUARDIAN_END,1482
381483,FRAME_START,0
381501,GUARDIAN_START,0
381503,GUARDIAN_END,1482
381503,FRAME_START,0
381521,GUARDIAN_START,0
381523,GUARDIAN_END,1482
381523,FRAME_START,0
381541,GUARDIAN_START,0
381543,GUARDIAN_END,1482
381543,FRAME_START,0
381561,GUARDIAN_START,0
381563,GUARDIAN_END,1482
381563,FRAME_START,0
381581,GUARDIAN_START,0
381583,GUARDIAN_END,1482
381583,FRAME_START,0
381601,GUARDIAN_START,0
381603,GUARDIAN_END,1482
381603,FRAME_START,0
381621,GUARDIAN_START,0
381623,GUARDIAN_END,1482
381623,FRAME_START,0
381641,GUARDIAN_START,0
381643,GUARDIAN_END,1481
381643,FRAME_START,0
381661,GUARDIAN_START,0
381663,GUARDIAN_END,1482
381663,FRAME_START,0
381681,GUARDIAN_START,0
381683,GUARDIAN_END,1482
381683,FRAME_START,0
381701,GUARDIAN_START,0
381703,GUARDIAN_END,1482
381703,FRAME_START,0
381721,GUARDIAN_START,0
381723,GUARDIAN_END,1482
381723,FRAME_START,0
381741,GUARDIAN_START,0
381743,GUARDIAN_END,1482
381743,TINYML_START,0
381843,TINYML_END,0
381843,FRAME_START,0
381844,GUARDIAN_START,0
381845,GUARDIAN_END,1482
381845,FRAME_START,0
381846,GUARDIAN_START,0
381848,GUARDIAN_END,1482
381848,TINYML_START,0
381948,TINYML_END,0
381948,FRAME_START,0
381949,GUARDIAN_START,0
381950,GUARDIAN_END,1483
381950,FRAME_START,0
381951,GUARDIAN_START,0
381953,GUARDIAN_END,1483
381953,TINYML_START,0
382053,TINYML_END,0
382053,FRAME_START,0
382054,GUARDIAN_START,0
382055,GUARDIAN_END,1483
382055,FRAME_START,0
382056,GUARDIAN_START,0
382058,GUARDIAN_END,1481
382058,FRAME_START,0
382059,GUARDIAN_START,0
382060,GUARDIAN_END,1481
382060,FRAME_START,0
382061,GUARDIAN_START,0
382063,GUARDIAN_END,1482
382063,TINYML_START,0
382163,TINYML_END,0
382163,FRAME_START,0
382164,GUARDIAN_START,0
382165,GUARDIAN_END,1482
382165,FRAME_START,0
382166,GUARDIAN_START,0
382168,GUARDIAN_END,1482
382168,FRAME_START,0
382169,GUARDIAN_START,0
382170,GUARDIAN_END,1481
382170,FRAME_START,0
382171,GUARDIAN_START,0
382172,GUARDIAN_END,1482
RAW: min=  -293 max=   268 samples[0..3]=77 70 92 108
RES0: min=   -55 max=    52
GATE: ABORT conf= 15 E=    0 C=  2203 ZCR= 10 T=1482us noise=    0 wakes= 1/50
SCHED: wcet=1524us avg=1481us duty=0.74% irq_lat_avg=1ms irq_lat_max=20ms
DEADLINE: misses=32/15400  miss_rate=0.20%
382522,FRAME_START,0
382530,GUARDIAN_START,0
382532,GUARDIAN_END,1482
382532,FRAME_START,0
382533,GUARDIAN_START,0
382534,GUARDIAN_END,1482
382534,FRAME_START,0
382535,GUARDIAN_START,0
382537,GUARDIAN_END,1481
382537,TINYML_START,0
382637,TINYML_END,0
382637,FRAME_START,0
382638,GUARDIAN_START,0
382639,GUARDIAN_END,1482
382639,FRAME_START,0
382640,GUARDIAN_START,0
382642,GUARDIAN_END,1514
382642,FRAME_START,0
382643,GUARDIAN_START,0
382644,GUARDIAN_END,1481
382644,FRAME_START,0
382645,GUARDIAN_START,0
382647,GUARDIAN_END,1481
382647,FRAME_START,0
382648,GUARDIAN_START,0
382649,GUARDIAN_END,1481
382649,FRAME_START,0
382661,GUARDIAN_START,0
382663,GUARDIAN_END,1482
382663,FRAME_START,0
382681,GUARDIAN_START,0
382683,GUARDIAN_END,1482
382683,FRAME_START,0
382701,GUARDIAN_START,0
382703,GUARDIAN_END,1481
382703,FRAME_START,0
382721,GUARDIAN_START,0
382723,GUARDIAN_END,1481
382723,FRAME_START,0
382741,GUARDIAN_START,0
382743,GUARDIAN_END,1481
382743,FRAME_START,0
382761,GUARDIAN_START,0
382763,GUARDIAN_END,1481
382763,FRAME_START,0
382781,GUARDIAN_START,0
382783,GUARDIAN_END,1482
382783,FRAME_START,0
382801,GUARDIAN_START,0
382803,GUARDIAN_END,1482
382803,FRAME_START,0
382821,GUARDIAN_START,0
382823,GUARDIAN_END,1482
382823,FRAME_START,0
382841,GUARDIAN_START,0
382843,GUARDIAN_END,1482
382843,FRAME_START,0
382861,GUARDIAN_START,0
382863,GUARDIAN_END,1476
382863,FRAME_START,0
382881,GUARDIAN_START,0
382883,GUARDIAN_END,1481
382883,FRAME_START,0
382901,GUARDIAN_START,0
382903,GUARDIAN_END,1476
382903,FRAME_START,0
382921,GUARDIAN_START,0
382923,GUARDIAN_END,1482
382923,FRAME_START,0
382941,GUARDIAN_START,0
382943,GUARDIAN_END,1482
382943,FRAME_START,0
382961,GUARDIAN_START,0
382963,GUARDIAN_END,1482
