GATE: WAKE  conf=100 E= 3373 C= 32731 ZCR= 32 T=1489us noise=    0 wakes=50/50
SCHED: wcet=1489us avg=1489us duty=0.74% irq_latSTART,0
50348,GUARDIAN_END,1495
50348,FRAME_START,0
50362,TINYML_END,0
50362,TINYML_START,0
50370,GUARDIAN_START,0
50371,GUARDIAN_END,1495
50371,FRAME_START,0
50392,GUARDIAN_START,0
50394,GUARDIAN_END,1495
50394,FRAME_START,0
50415,GUARDIAN_START,0
50417,GUARDIAN_END,1495
50417,FRAME_START,0
50438,GUARDIAN_START,0
50439,GUARDIAN_END,1495
50439,FRAME_START,0
50461,GUARDIAN_START,0
50462,GUARDIAN_END,1495
50462,FRAME_START,0
50476,TINYML_END,0
50476,TINYML_START,0
50483,GUARDIAN_START,0
50485,GUARDIAN_END,1495
50485,FRAME_START,0
50506,GUARDIAN_START,0
50508,GUARDIAN_END,1495
50508,FRAME_START,0
50529,GUARDIAN_START,0
50531,GUARDIAN_END,1495
50531,FRAME_START,0
50552,GUARDIAN_START,0
50553,GUARDIAN_END,1495
50553,FRAME_START,0
50575,GUARDIAN_START,0
50576,GUARDIAN_END,1495
50576,FRAME_START,0
50589,TINYML_END,0
50589,TINYML_START,0
50597,GUARDIAN_START,0
50599,GUARDIAN_END,1495
50599,FRAME_START,0
50620,GUARDIAN_START,0
50622,GUARDIAN_END,1495
50622,FRAME_START,0
50643,GUARDIAN_START,0
50644,GUARDIAN_END,1495
50644,FRAME_START,0
50666,GUARDIAN_START,0
50667,GUARDIAN_END,1495
GATE: WAKE  conf=100 E= 3373 C= 32731 ZCR= 32 T=1495us noise=    0 wakes=50/50
SCHED: wcet=1495us avg=1495us duty=0.74% irq_lat_avg=0ms irq_lat_max=0ms
51020,FRAME_START,0
51041,GUARDIAN_START,0
51043,GUARDIAN_END,1495
51043,FRAME_START,0
51055,TINYML_END,0
51055,TINYML_START,0
51064,GUARDIAN_START,0
51066,GUARDIAN_END,1495
51066,FRAME_START,0
51087,GUARDIAN_START,0
51088,GUARDIAN_END,1495
51088,FRAME_START,0
51110,GUARDIAN_START,0
51111,GUARDIAN_END,1495
51111,FRAME_START,0
51132,GUARDIAN_START,0
51134,GUARDIAN_END,1495
51134,FRAME_START,0
51155,GUARDIAN_START,0
51157,GUARDIAN_END,1495
51157,FRAME_START,0
51168,TINYML_END,0
51168,TINYML_START,0
51178,GUARDIAN_START,0
51180,GUARDIAN_END,1495
51180,FRAME_START,0
51201,GUARDIAN_START,0
51202,GUARDIAN_END,1495
51202,FRAME_START,0
51224,GUARDIAN_START,0
51225,GUARDIAN_END,1495
51225,FRAME_START,0
51246,GUARDIAN_START,0
51248,GUARDIAN_END,1495
51248,FRAME_START,0
51269,GUARDIAN_START,0
51271,GUARDIAN_END,1495
51271,FRAME_START,0
51282,TINYML_END,0
51282,TINYML_START,0
51292,GUARDIAN_START,0
51294,GUARDIAN_END,1495
51294,FRAME_START,0
51315,GUARDIAN_START,0
51316,GUARDIAN_END,1495
51316,FRAME_START,0
51338,GUARDIAN_START,0
51339,GUARDIAN_END,1495
51339,FRAME_START,0
51360,GUARDIAN_START,0
51362,GUARDIAN_END,1495
51362,FRAME_START,0
51383,GUARDIAN_START,0
51385,GUARDIAN_END,1495
51385,FRAME_START,0
51395,TINYML_END,0
51395,TINYML_START,0
51406,GUARDIAN_START,0
51407,GUARDIAN_END,1495
51407,FRAME_START,0
51429,GUARDIAN_START,0
51430,GUARDIAN_END,1495
51430,FRAME_START,0
51451,GUARDIAN_START,0
51453,GUARDIAN_END,1495
51453,FRAME_START,0
51474,GUARDIAN_START,0
51476,GUARDIAN_END,1495
51476,FRAME_START,0
51497,GUARDIAN_START,0
51499,GUARDIAN_END,1495
51499,FRAME_START,0
51508,TINYML_END,0
51508,TINYML_START,0
51520,GUARDIAN_START,0
51521,GUARDIAN_END,1495
51521,FRAME_START,0
51543,GUARDIAN_START,0
51544,GUARDIAN_END,1495
51544,FRAME_START,0
51565,GUARDIAN_START,0
51567,GUARDIAN_END,1495
51567,FRAME_START,0
51588,GUARDIAN_START,0
51590,GUARDIAN_END,1495
51590,FRAME_START,0
51611,GUARDIAN_START,0
51613,GUARDIAN_END,1495
51613,FRAME_START,0
51622,TINYML_END,0
51622,TINYML_START,0
51634,GUARDIAN_START,0
51635,GUARDIAN_END,1495
51635,FRAME_START,0
51657,GUARDIAN_START,0
51658,GUARDIAN_END,1495
51658,FRAME_START,0
51679,GUARDIAN_START,0
51681,GUARDIAN_END,1495
51681,FRAME_START,0
51702,GUARDIAN_START,0
51704,GUARDIAN_END,1495
51704,FRAME_START,0
51725,GUARDIAN_START,0
51726,GUARDIAN_END,1495
51726,FRAME_START,0
51735,TINYML_END,0
51735,TINYML_START,0
51748,GUARDIAN_START,0
51749,GUARDIAN_END,1495
51749,FRAME_START,0
